crop,soil_type,pH,N,P,K,temperature,rainfall,humidity,water_needed,yield
rice,clay,6.63,115,53,25,27.8,123.0,81.2,7.34,4106
rice,clay,6.55,53,48,31,25.1,162.1,44.3,7.87,4694
rice,clay,6.83,105,48,49,20.6,218.9,79.9,7.87,3940
rice,clay,6.82,108,50,60,22.2,61.0,52.6,7.62,4657
rice,clay,6.66,104,53,58,29.8,144.2,83.2,6.64,4217
rice,loamy,6.58,52,22,33,23.4,130.0,66.5,7.55,3789
rice,loamy,6.23,72,28,42,21.2,234.1,51.8,6.16,3757
rice,loamy,6.22,54,44,54,24.1,183.9,58.9,7.75,4371
rice,loamy,6.35,82,49,36,23.6,189.1,46.8,6.13,3870
rice,loamy,6.37,107,37,25,32.2,127.6,82.2,8.1,4008
rice,sandy,6.18,87,47,36,32.1,75.8,64.3,6.51,4177
rice,sandy,6.65,50,53,41,34.5,83.1,50.2,6.47,4547
rice,sandy,6.66,100,49,47,20.7,230.0,79.8,7.06,3783
rice,sandy,6.24,70,54,57,26.4,64.2,58.7,6.41,3795
rice,sandy,6.32,120,50,46,18.7,113.1,53.3,6.3,4603
rice,silty,6.6,115,20,46,24.7,189.3,70.5,6.15,4389
rice,silty,6.27,77,58,21,22.5,202.0,79.8,8.34,4079
rice,silty,6.6,71,59,32,32.1,86.3,84.2,6.35,4650
rice,silty,6.42,114,60,60,22.2,72.7,61.7,8.91,3789
rice,silty,6.18,51,56,53,32.2,116.7,68.7,8.54,4565
rice,black,6.01,91,20,22,28.6,61.8,82.0,8.49,4298
rice,black,6.51,72,30,52,18.1,157.6,63.6,6.25,3921
rice,black,6.62,92,27,35,31.7,156.1,82.8,6.94,4489
rice,black,6.05,79,59,49,32.2,51.0,42.1,7.61,4036
rice,black,6.57,52,33,24,33.3,186.4,62.9,7.51,4165
rice,red,6.93,75,22,59,28.8,184.8,50.7,7.76,4259
rice,red,6.81,104,31,30,28.7,136.6,59.7,8.02,4317
rice,red,6.97,74,59,38,22.2,168.1,42.7,7.99,4065
rice,red,6.86,81,52,58,34.0,78.0,79.4,7.33,4078
rice,red,6.51,115,25,58,19.0,246.7,41.6,7.61,4644
rice,alluvial,6.14,65,52,34,34.7,247.9,42.4,6.19,3933
rice,alluvial,6.91,110,45,57,28.7,217.7,58.2,8.78,4655
rice,alluvial,6.81,73,48,30,28.4,84.3,57.6,8.73,4201
rice,alluvial,6.66,92,29,57,28.9,161.5,67.7,8.89,4590
rice,alluvial,6.84,64,58,52,34.9,162.8,49.7,7.6,4652
wheat,clay,7.25,117,52,42,19.1,102.2,67.2,4.29,3356
wheat,clay,6.86,108,29,22,26.9,166.4,66.0,5.45,3380
wheat,clay,7.49,57,30,40,24.6,182.7,84.6,3.87,3369
wheat,clay,7.37,58,36,50,23.0,137.5,80.7,4.89,3438
wheat,clay,7.31,89,22,50,27.6,125.9,73.3,5.86,2975
wheat,loamy,7.41,88,33,50,22.7,181.5,40.4,4.05,3186
wheat,loamy,6.65,86,32,32,18.4,78.0,60.2,3.75,3247
wheat,loamy,6.91,101,37,38,29.7,181.3,53.3,4.06,3514
wheat,loamy,7.32,70,26,44,28.8,235.4,68.6,5.75,2994
wheat,loamy,6.99,117,24,48,32.9,118.8,46.5,4.46,2996
wheat,sandy,7.29,64,26,45,35.0,152.8,80.8,4.45,3356
wheat,sandy,6.67,70,28,47,21.6,145.3,43.0,3.98,3553
